GBPUSD Historical Data,,,,,,
Date,Open,High,Low,Close,Change(Pips),Change(%)
12/14/2021 14:00,1.32327,1.32477,1.32221,1.32276,-5.1,-0.04
12/14/2021 10:00,1.32227,1.32568,1.32183,1.3233,10.3,0.08
12/14/2021 06:00,1.32051,1.32249,1.31978,1.32224,17.3,0.13
12/14/2021 02:00,1.32029,1.32064,1.31909,1.32055,2.6,0.02
12/13/2021 22:00,1.32122,1.3216,1.32006,1.32026,-9.6,-0.07
12/13/2021 18:00,1.32124,1.32211,1.32069,1.32112,-1.2,-0.01
12/13/2021 14:00,1.32559,1.32688,1.32127,1.32128,-43.1,-0.33
12/13/2021 10:00,1.32452,1.32686,1.32379,1.32556,10.4,0.08
12/13/2021 06:00,1.32495,1.32499,1.32215,1.32453,-4.2,-0.03
12/13/2021 02:00,1.32547,1.32589,1.32463,1.32495,-5.2,-0.04
12/12/2021 22:00,1.32468,1.3261,1.32468,1.32545,7.7,0.06
12/10/2021 18:00,1.3268,1.32758,1.32559,1.32628,-5.2,-0.04
12/10/2021 14:00,1.32296,1.32712,1.32041,1.32681,38.5,0.29
12/10/2021 10:00,1.32015,1.32423,1.31873,1.32296,28.1,0.21
12/10/2021 06:00,1.32199,1.32291,1.31967,1.32014,-18.5,-0.14
12/10/2021 02:00,1.32272,1.3233,1.32161,1.322,-7.2,-0.05
12/09/2021 22:00,1.32188,1.32299,1.3213,1.32269,8.1,0.06
12/09/2021 18:00,1.32126,1.32227,1.32078,1.32186,6,0.05
12/09/2021 14:00,1.3206,1.32165,1.31855,1.32121,6.1,0.05
12/09/2021 10:00,1.32051,1.32122,1.31707,1.32063,1.2,0.01
12/09/2021 06:00,1.32073,1.32157,1.31927,1.32046,-2.7,-0.02
12/09/2021 02:00,1.32002,1.32146,1.3193,1.32074,7.2,0.05
12/08/2021 22:00,1.32008,1.32116,1.31934,1.32003,-0.5,0
12/08/2021 18:00,1.3237,1.32429,1.31911,1.32035,-33.5,-0.25
12/08/2021 14:00,1.32167,1.32444,1.31898,1.32373,20.6,0.16
12/08/2021 10:00,1.32424,1.32451,1.31611,1.32165,-25.9,-0.2
12/08/2021 06:00,1.32538,1.32565,1.32322,1.32426,-11.2,-0.08
12/08/2021 02:00,1.32434,1.32612,1.32434,1.32538,10.4,0.08
12/07/2021 22:00,1.32399,1.32516,1.32319,1.32433,3.4,0.03
12/07/2021 18:00,1.32284,1.32456,1.32216,1.32426,14.2,0.11
12/07/2021 14:00,1.32261,1.32501,1.32087,1.32271,1,0.01
12/07/2021 10:00,1.32616,1.32683,1.32189,1.32264,-35.2,-0.27
12/07/2021 06:00,1.32841,1.32877,1.32461,1.32614,-22.7,-0.17
12/07/2021 02:00,1.32648,1.32889,1.32636,1.32844,19.6,0.15
12/06/2021 22:00,1.32597,1.3267,1.32527,1.32652,5.5,0.04
12/06/2021 18:00,1.32545,1.32679,1.32472,1.32629,8.4,0.06
12/06/2021 14:00,1.32662,1.3269,1.32303,1.3254,-12.2,-0.09
12/06/2021 10:00,1.32595,1.32862,1.32493,1.32666,7.1,0.05
12/06/2021 06:00,1.32303,1.32664,1.32222,1.32591,28.8,0.22
12/06/2021 02:00,1.32396,1.32407,1.32294,1.32307,-8.9,-0.07
12/05/2021 22:00,1.32057,1.32442,1.32057,1.3239,33.3,0.25
12/03/2021 18:00,1.32359,1.32525,1.32272,1.32299,-6,-0.05
12/03/2021 14:00,1.32849,1.32858,1.32089,1.32365,-48.4,-0.37
12/03/2021 10:00,1.32861,1.331,1.32539,1.3285,-1.1,-0.01
12/03/2021 06:00,1.32953,1.32986,1.32678,1.32859,-9.4,-0.07
12/03/2021 02:00,1.3291,1.32988,1.3283,1.32952,4.2,0.03
12/02/2021 22:00,1.32978,1.33028,1.32835,1.32911,-6.7,-0.05
12/02/2021 18:00,1.33014,1.33057,1.32891,1.33008,-0.6,0
12/02/2021 14:00,1.3312,1.33229,1.32989,1.33014,-10.6,-0.08
12/02/2021 10:00,1.33212,1.33338,1.33072,1.3312,-9.2,-0.07
12/02/2021 06:00,1.3288,1.33222,1.32762,1.33214,33.4,0.25
12/02/2021 02:00,1.32942,1.33062,1.32858,1.32881,-6.1,-0.05
12/01/2021 22:00,1.3274,1.32948,1.32678,1.32947,20.7,0.16
12/01/2021 18:00,1.33025,1.33068,1.32614,1.32723,-30.2,-0.23
12/01/2021 14:00,1.33436,1.3352,1.32981,1.33022,-41.4,-0.31
12/01/2021 10:00,1.33115,1.33447,1.33008,1.33438,32.3,0.24
12/01/2021 06:00,1.33265,1.33321,1.32757,1.33117,-14.8,-0.11
12/01/2021 02:00,1.3293,1.33269,1.32922,1.33264,33.4,0.25
11/30/2021 22:00,1.32957,1.33142,1.32878,1.32932,-2.5,-0.02
